 ,Family,Status,ID Number,Name,Name romanized,Name UD,Illustration,Illustration romanized,Gloss,English equivalent,CEFR level,Definition in Persian,Definition in English,Example 1,Example 1 romanized,Example 2,Example 2 romanized,Example 3,Example 3 romanized,Example 4,Example 4 romanized,Example 5,Example 5 romanized,Morphology,Synt. type of construction,Synt. func. of anchor,Synt. structure of anchor,Part of speech of anchor,SemType1,SemSubType1,SemType2,SemSubType2,SemType3,SemSubType3,SemType4,SemSubType4,Semantic role,Intonation,Communicative type,Usage label,Anchor words,Common fillers,Comment Persian,Comment English,Actionality,Actuality,Additive,Addressee,Apprehension,Assessment,Attitude,Calculation,Caritive,Causation,Cause,Comitative,Comparison,Condition,Concession,Consequence,Degree of accuracy,Degree of intensity,Discourse structure,Epistemic modality (Degree of certainty),Exceptive,Exclusive,Inclusive,Instrument,Manner,Measure,Mirative,Non-existence,Non-Standard Subject,Options,Phase of action,Pluractionality,Polarity value,Possession,Prohibition,Purpose,Quantification,Reaction to the previous discourse,Request,Result,Root modality,Routine,Salient property,Source of information,Source of opinion,Spatial expression,Subset,Taxis,Temporal expression,Temporary characteristics,Timeline,Threat,Volition
,,,1,پس NP چی (شدن)؟ / پس NP؟,pas NP či (šod-an) / pas NP,,پس [نظر جمع]NP چی می‌شه؟,pas [nazar-e jam’] či mi-š-e?,,What about NP then?,,این ساخت [موضوعی]Theme را برجسته می‌کند که مخاطب آن را در تصمیم نهایی خود لحاظ نکرده است. این عدم توجه می‌تواند به صورت ناخودآگاه یا عمدی باشد.,This construction highlights a [topic]Theme that the addressee has not considered in their final decision. This inconsideration can be either intentional or unintentional.,من دیگه میخوام طلاق بگیرم! گفت: پس [سوگل]Theme چی می‌شه این وسط؟,man dige mi-xām talāq be-gir-am! goft pas [sogol]Theme či mi-š-e?,پس [قول و قرارمون]Theme چی می‌شه؟ همشو یادت رفت؟,pas [qol o qarār-emun]Theme či mi-š-e? ham-aš-o yād-et raft?,با گریه گفت: پس [خانواده من]Theme چه می‌شود؟,bā gerye goft pas [xānevāde-ye man]Theme če mi-šav-ad?,گفتم آخه تنهام. گفت پس [من]Theme چی رفیق؟,goft-am āxe man tanhām. goft pas [man]Theme či rafiq?,مگه من جلبکم؟ پس [من]Theme چی؟,mage man jolbak-am? pas [man]Theme či?,NP,Clause,Verb Predicate,Light Verb Construction,"Noun, Pronoun, Verb",,,,,,,,,Theme,Declarative,Declarative,Formal,,,"      'بسط استعاری از همین ساخت به معنی ""لمس کردن""'","A metaphorical extension of the same construction that means ""to touch something"".",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2,دست به NP زدن,dast be NP zad-an,,فرد زندانی دست به [خودکشی]NP زده است.,fard-e zendāni dast be [xodkoši] zad-e ast.,,Commit NP / Begin doing NP,,ساختی خبری که بیان می‌کند شخص، گروه یا موجودی مشخص، شروع به انجام [فعالیت]Theme خاصی می‌کند. این فعالیت گاهاً ناگهانی و غیرمنتظره است.,A declarative construction which states that an entity starts doing an [activity]Theme. It is sometimes a sudden action against the expectations.,اصولاً انسان‌ها در مواقعی که ضرورت ایجاد کند دست به [کارهای بزرگی]Theme می‌زنند.,osulan ensān-hā dar mavāqe-i ke zarurat ijād kon-ad dast be [kār-hā-ye bozorɡ-i] mi-zan-and.,من به این خاطر دست به [فعالیت سیاسی]Theme زدم که از خانواده قربانیان هستم.,man be in xāter dast be fa’āliat-e siyāsi zad-am ke az xānevāde-ye qorbāniān hast-am.,یک زن برای رهایی از اذیت و آزارهای همسرش دست به [قتل او]Theme زد.,yek zan barāy-e rahāyi az aziat va āzār-hā-ye hamsar-aš dast be [qatl-e u] zad.,در ماه اوریل پیونگ یانگ دست به [انجام یک ازمایش موشکی]Theme زد که نگرانی‌های فراوانی را به همراه داشت.,dar māh-e āvril piyong yāng dast be [anjām-e yek āzmāyeš-e mušaki] zad ke negarani-hā-ye farāvān-i rā be hamrāh dāšt.,در روز چهارشنبه پنجاه هزار تن در سانتیاگو ، پایتخت ، دست به [راهپیمایی]patient زدند.,"dar ruz-e čahāršanbe panjāh hezār tan dar sāntiāgo pāytaxt, dast be [rāhpeymāyi] zad-and.",NP,Copula Construction,,,"Conjunction, Pronoun, Verb",,,,,,,,,Theme,Interrogative,"Interrogative, Exclamatory","Informal, Formal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,از طرفی هم CL,az taraf-i ham CL,,هیچ کس جرأت بیان آن و از طرفی هم [هیچ کس جرأت شنیدن آن را نداشت]CL.,hič kas jor’at-e bayān-e ān va az taraf-i ham [hič kas jor’at-e šenid-an-e ān rā na-dāšt].,,Besides CL,,این ساخت موضوع جدیدی را وارد گفتمان می‌کند که در تصمیم‌گیری فرد دخیل است. این موضوع می‌تواند به عنوان دلیلی مضاعف و تاییدی بر گفته‌های پیشین و یا به صورت استدلال مخالف بیان شود.,The construction introduces a new topic into the discourse that is involved in an individual's decision making. This topic can be expressed as an added argument and confirmation of the previous statements or as an opposing argument.,خیلی کنجکاو بودم که بدانم داخل جعبه‌های کادو شده چیست. از طرفی هم [خجالت می‌کشیدم راجع به کادوها حرف بزنم]Argument.,xeyli konjkāv bud-am ke be-dān-am dāxel-e ja’be-hā-ye kādo šode či-st. az taraf-i ham [xejālat mi-kešid-am rāje’ be kādo-hā harf be-zan-am]Argument.,واقعاً دلم نمیاد تعطیلش کنم ولی از طرفی هم [دیگه توان موندن ندارم]Argument.,vāqe’an del-am ne-miy-ā-d ta’til-eš kon-am vali az taraf-i ham [dige tavān-e mundan na-dār-am]Argument.,فراموش کرده بودیم از خونه دستکش با خودمون ببریم و از طرفی هم [دوست داشتیم آدم برفی درست کنیم]Argument.,farāmuš kard-e bud-im az xune dastkeš bā xod-emun be-bar-im va az taraf-i ham [dust dāšt-im ādam barfi dorsot kon-im]Argument.,مدت‌هاست که از فوتبال ایران دور بودم و از طرفی هم [با تیم استقلال تمرینی نکردم که مورد انتقاد قرار بگیرم]Argument.,moddat-hā-st ke az futbāl-e irān dur bud-am va az taraf-i ham [bā tim-e esteqlāl tamrin-i na-kard-am ke mored-e enteqād qarār be-gir-am]Argument.,چون دوسش دارم و طاقت دیدن ناراحتیشو ندارم از طرفی هم [احساس میکنم تو چند مورد در این باره اشتباه کردم]Argument.,čon dus-eš dār-am va tāqat-e did-an-e nārāhati-šo na-dār-am az taraf-i ham [ehsās mi-kon-am tu čand mored dar in bare eštebāh kard-am]Argument.,,PP,,,"Preposition, Noun, Conjunction",,,,,,,,,,Declarative,Declarative,"Informal, Formal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,4,از این گذشته، CL,"az in gozašte, CL",,از این گذشته، [موتور هوا را هم آلوده می‌کند]CL.,"az in gozašte, [motor havā rā ham ālude mi-kon-ad].",,"Furthermore, CL",,این ساخت موضوع جدیدی را در تکمیل آنچه پیش از این گفته شده وارد گفتمان می‌کند.,This construction introduces a new topic as added information for what has already been said.,ویتامین A برای سلامت پوست ضروری است. از این گذشته، [این ویتامین برای بینایی نیز مفید است]Argument.,"vitāmin-e A barāy-e salāmat-e pust zaruri ast. az in gozašte, [in vitāmin barāy-e bināyi niz mofid ast]Argument.",احساس خوبی در مورد خودتان پیدا می‌کنید. از این گذشته [لبخند زدن باعث ازاد شدن اندروفین در بدن می‌شود]Argument.,"ehsās-e xub-i dar mored-e xod-etān peydā mi-kon-id. az in gozašte, [labxand zad-an bā’es-e āzād šod-an-e endorfin dar badan mi-šav-ad]Argument.",از این گذشته، [شاید او مایل به انتقال دانش خود به ما نباشد]Argument.,"az in gozašte, [šāyad u māyel be enteqāl-e dāneš-e xod be mā na-bāš-ad]Argument.",پاهام درد می‌کنه و نمی‌تونم راه برم. از اینها گذشته، [خودم هم حالم خوب نیست]Argument.,"pā-hā-m dard mi-kon-e va ne-mi-tun-am rāh be-r-am. az in-hā gozašte, [xod-am ham hāl-am xub nist]Argument.",چطور می‌توانستم باور کنم که او نمی‌تواند بشنود. از این گذشته، [یک گوش برای شنیدن کافی است]Argument.,"četor mi-tavān-est-am bāvar kon-am ke u ne-mi-tavān-ad be-šnav-ad. az in gozašte, [yek guš barāy-e šenid-an kāfi ast]Argument.",,,,,"Preposition, Determiner, Adjective",,,,,,,,,,Declarative,,Formal,,,همچنین به صورت «از اینها گذشته»، «گذشته از این» یا «گذشته از اینها».,"Also used as «az in-hā gozašte», «gozašte az in» or «gozašte az in-hā».",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,5,چرا راه دور رفتن؟ CL,čerā rāh-e dur raft-an? CL,,چرا راه دور برویم؟ [همین ایرانِ خودمان]CL.,cherā rāh-e dur beravim? [hamin irān-e xodemān].,,"Case in point, CL",,این ساخت سوالی زمانی استفاده می‌شود که گوینده قصد ارائه شاهد یا مثالی ملموس و آشنا در جهت تکمیل گفته پیشین خود دارد. عبارتی که پس از این سوال مطرح می‌شود همان شاهد یا مثال است.,This interrogative construction is a way to give a tangible and familiar piece of evidence or an example for what has already been said. What comes after the question will be the example or evidence intended.,یا اصلاً چرا راه دور برویم؟ [همین سال گذشته و اجرای فوق‌العاده کلبه عمو تام].,"vitāmin-e A barāy-e salāmat-e pust zaruri ast. az in gozašte, [in vitāmin barāy-e bināyi niz mofid ast]Argument.",از اقتدار پدرها می شنویم که همه از کوچک و بزرگ از وی حساب می بردند. چرا راه دور برویم؟ [پدرها و مادرهای ما هم این گونه بودند].,az eqtedār-e pedar-hā mišenavim ke hame az kučak o bozorg az vey hesāb mibordand. čerā rāh-e dur beravim? [pedar-hā va mādar-hā-ye mā ham in gune buand].,به وقت احتیاج و درماندگی فقط به من مراجعه کن. چرا راه دور می‌روی ؟ [من درکنار توام از خودت نیز به تو نزدیکتر].,be vaqt-e ehtiāj va darmāndegi faqat be man morāje’e kon. čerā rāh-e dur miravi? [man dar kenār-e toam az xodat niz be to nazdiktar].,بگذارید قضیه را با یک مصداق شروع کنیم. اصلاً چرا راه دور برویم؟ [از اولین جمله رمان شما شروع می‌کنیم].,bogzārid qazie rā bā yek mesdāq šoru’ konim. aslan čerā rāh-e dur beravim? [az avvalin jomle-ye roman-e šomā šoru’ mikonim].,دوست عزیز چرا راه دور بریم و با عاشورای پارسال مقایسه کنیم؟ [با همین 25 بهمن مقایسه کن].,dust-e ’aziz čerā rāh-e dur berim o bā ’āšurā-ye pārsāl moqāyese konim? [bā hamin bist-o-panj-e bahman moqāyese kon].,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,6,NP/CL به NP چه ربطی داشتن؟,NP/CL be NP če rabti dāšt-an?,,آخه [درس‌های رشته برق]Theme به [من]Theme چه ربطی داره؟,āxe [dars-hā-ye rešte-ye barq]Theme be [man]Theme če rabti dāre?,,What does NP/CL have to do with NP? ,,,,[فرهنگ] چه ربطی به [دروغِ سیاستمداران] دارد؟,[farhang] če rabti be [doruq-e siāsatmadār-ān] dārad?,جناب آقای نماینده اینجا ایرانشهر است، [فرودگاه بوشهر] به [ما] چه ربطی داره؟,"jenāb-e āqā-ye namāyande injā irānšahr ast, [forudgāh-e bušehr] fi [mā] če rabti dāre?",می‌شود شما بفرمایید که [این مساله] به [ایران] چه ربطی دارد و شما چه کاره هستید؟,mišavad befarmāyid ke [in mas’ale] be [irān] če rabti dārad va šomā če kāre hastid?,[بحث من] چه ربطی داشت به [حدود آزادی پوشش]؟,[bahs-e man] če rabti dāšt be [hodud-e āzādi-ye pušeš]?,[لالیگا] چه ربطی به [لیگ قهرمانان] دارد؟,[lāligā] če rabti be [lig-e qahremān-ān] dārad?,,,,,,,,,,,,,,,,,,,,همچنین به صورت «NP/CL چه ربطی به NP داشتن»، «به NP چه ربطی داشتن (که) CL».,"Also used as «NP/CL če rabti be NP dāšt-an», «be NP če rabti dāšt-an (ke) CL».",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,7,اگر خواستن CL، (باید/نباید) CL,"agar xāst-an CL, (bāyad/nabāyad) CL",,اگر می‌خواهید [دشمنان خود را تنبیه کنید]، [به دوستان خود محبت کنید].,"agar mixāhid [došman-ān-e xod rā tanbih konid], [be dust-ān-e xod mohabbat konid].",,"If one wants to CL, (then) CL",,,, اگر می‌خواهید [لاغر شوید و از غذا بیزار]، [از این ترکیب رنگ استفاده کنید].,"agar mixāhid [lāqar šavid va az qazā bizār], [az in tarkib-e rang estefāde konid].",اگر می‌خواهد [به قهر این ملت ایران دچار نشود]، [باید بعضی چیزها را بازگو و فسادهای اقتصادی را افشا کند].,"agar mixāhad [be qahr-e in mellat irān dočār našavad], [bāyad ba’zi čiz-hā rā bāzgu va fesād-hā-ye eqtesādi rā efšā konad].",اگر می‌خواهید [عزت نفس بیشتری پیدا کنید]، [نباید حقوق خود را نادیده بگیرید].,"agar mixāhid [’ezzat-e nafs-e bištari peydā konid], [nabāyad hoquq-e xod rā nadide begirid].",اگر می‌خواهیم [به المپیک صعود کنیم]، [نباید هیچ حریفی را دست کم بگیریم].,"agar mixāhim [be olampik so’ud konim], [nabāyad hič harifi rā dast-e kam begirim].",اگر خواستی [کسی را بهتر بشناسی]، [با وی همسفر شو].,"agar xāsti [kasi rā behtar bešenāsi], [bā vey hamsafar šo].",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,8,یک NP هم NEG-VP,yek NP ham NEG-VP,,تیم صبا در نیمه دوم یک [موقعیت] هم [بر روی دروازه ما ایجاد نکرد].,tim-e sabā dar nime-ye dovvom yek [moqe’iyat] ham [bar ru-ye darvāze-ye mā ijād na-kard].,,,,,,حتی یک [بار] هم [نپرسیدی چرا چشم‌هایت همیشه بارانی است].,hattā yek [bār] ham [na-porsidi cerā češm-hā-yat hamiše bārāni ast].,ازش بخواه یک [لحظه] هم [فراموشت نکنه] و به تو نیرویی بده تا یک [لحظه] هم [فراموشش نکنی].,azaš bexāh yek [lahze] ham [farāmušet na-kone] va be to niruyi bede tā yek [lahze] ham [farāmušeš na-koni].,بحث جالبی میشه اگه یه ذره از وقتتونو به عسل اختصاص بدین. قول میدم یک [دقیقه] هم [طول نکشه].,bahs-e jālebi miše age ye zarre az vaqtetun ro be ’asal extesās bedin. qol midam yek [daqiqe] ham [tul na-keše].,در آسمان تاریک دلم حتی یک ستاره نیست. امشب کوچه‌های شادی حتی یک [عابر] هم [ندارد].,dar āsemān-e tārik-e delam hattā yek [setāre] nist. emšab kuče-hā-ye šādi yek [’āber] ham [na-dārad].,تا امروز حتی یک [ریال] هم از سوی سازمان تربیت بدنی [به باشگاه پرسپولیس تعلق نگرفت].,tā emruz hattā yek [riāl] ham az su-ye sāzmān-e tarbiat badani [be bāšgāh-e perspolis ta’alloq na-gereft].,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,9,(هنوز) CL/NP نگذشتن (که) CL,(hanuz) CL/NP NEG-gozašt-an (ke) CL,,هنوز [چند لحظه] نگذشته بود که [شروع کرد به صحبت کردن].,hanuz [čand lahze] na-gozašte bud ke [šoru’ kard be sohbat kardan].,,,,,,[یک هفته از این ماجرا] نگذشته بود که [اسب پیرمرد به همراه بیست اسب وحشی به خانه برگشت].,[yek hafte az in mājerā] na-gozašte bud ke [asb-e piremard be hamrāh-e bist asb-e vahši be xāne bargašt].,[دو ثانیه از گفتن اون نکته] نگذشته که [یه نکته خیلی مهم ریاضی یادش میاد].,[do sāniye az goftan-e un nokte] na-gzašte ke [ye nokte-ye xeyli mohemm-e riyāzi yādeš miyād].,این مرد که [چند روزی از ازدواج او] نگذشته بود [زن خود را طلاق می‌دهد].,in mard ke [čand ruzi az ezdevāj-e u] na-gozašte bud ke [zan-e xod rā talāq midahad].,[چند دقیقه بیشتر] نگذشته بود که [صدای فریاد‌های یک زن را شنیدم]., [čand daqiqe bištar] na-gozašte bud ke [sedā-ye faryād-hā-ye yek zan rā šenidam].,[روزی چند از این ماجرا] نگذشته بود که [حادثه دیگری رخ داد]., [ruzi čand az in mājerā] na-gozašte bud ke [hādese-ye digari rox dād].,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,10,نمی‌شه VP/CL؟,nemiše VP/CL?,,نمی‌شه [امشب نخوابیم]؟,nemiše emšab naxābim?,,Is it possible to VP/CL?,,,,نمی شه [اول در بزنید و بعد بیایید تو]؟,nemiše [avval dar bezanid va ba’d biyayid tu]?,پدر می‌گفت: نمیشه [امروز مرخصی بگیری]؟,pedar migoft: nemiše [emruz moraxasi begiri]?,نمیشد [تو امروز sms نمی‌دادی و نمیومدی دنبالم]؟,nemišod [to emruz sms nemidadi o nemiyumadi dombālam]?,مهدی، نمیشه [یه بار دیگه ببینمت]؟,"mehdi, nemiše [ye bare dige bebinamet]?",حالا نمی‌شه بی‌خیال حوله بشی؟,hālā nemiše [bixiyāl-e hole beši]?,,,,,,,,,,,,,,,,,,,,همچنین به صورت نمی‌شد VP/CL؟,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
